PM_year1	Caldwell_House	Passion_Puddle	PM_year2	s1.china.guizhou_province.leishan_county	s2.china.guizhou_province.congjiang_county	s3.china.guizhou_province.liping_county
Crenothrix	0	0.3333	1	0.1333	0.5	0	0.5
Methylosinus	0	1	0.5	0	0.3333	0	0.3333
Methylotenera	0	0.6667	1	0.1333	0.1667	1	0.3333
Vogesella	0	0.3333	1	0	0.8333	0.6667	0.6667
Rhodobacter	0	1	1	1	1	1	1
Propionivibrio	0	1	1	0.1333	0.1667	0.3333	0
Uliginosibacterium	0	0.6667	1	0	0.8333	0.8333	0.5
Blastomonas	0	1	0	0	0.1667	0.1667	0
Geobacter	0	0.3333	0	0	0.1667	0.1667	0.1667
Sulfurospirillum	0	0	1	0	0.1667	0	0
Pleomorphomonas	0	0	0.5	0	0.5	0.1667	0
Aquitalea	0	0	1	0	0.8333	0.6667	1
Chromobacterium	0	0	1	0	0.1667	0.5	0.3333
Rhizobium	0	0	1	0	1	0.8333	0.8333
Dechloromonas	0	0	1	0.8	0.5	0.1667	0.1667
Arcobacter	0	0	0.5	0.0667	0	0	0
Thauera	0	0	0.5	0.0667	0	0	0
Roseococcus	0	0	0	0.6	0	0	0
Brevundimonas	0	0	0	1	0	0.1667	0
Comamonas	0	0	0	0.6667	0.5	0.8333	0.8333
Curvibacter	0	0	0	0.6667	0	0	0
Limnohabitans	0	0	0	1	0.5	0.1667	0.6667
Enterobacter	0	0	0	0.0667	0	0	0
Erwinia	0	0	0	0.6	0	0	0
Hyphomicrobium	0	0	0	0.8	0.8333	0.5	1
Cupriavidus	0	0	0	0.0667	0.3333	0.3333	0.3333
Phyllobacterium	0	0	0	0.2667	0	0	0
C39	0	0	0	0.5333	0	0	0
Rickettsia	0	0	0	0.4	0.5	0.3333	0.5
Luteibacter	0	0	0	0.5333	0.3333	0	0
Pseudoxanthomonas	0	0	0	1	0	0	0
Nevskia	0	0	0	0.9333	0	0.3333	0.1667
Bdellovibrio	0	0	0	0.6	0.6667	0.6667	0.6667
Caedibacter	0	0	0	0.2	0	0	0
Kaistia	0	0	0	0.5333	0	0	0.3333
Methyloversatilis	0	0	0	0.6	0.6667	0.5	0.1667
Halomonas	0	0	0	0.1333	0	0.1667	0
Thermomonas	0	0	0	0.2667	0	0	0
Pedomicrobium	0	0	0	0.4	1	0.8333	1
Phaeospirillum	0	0	0	0.2	0	0	0
Steroidobacter	0	0	0	0.3333	0	0.3333	0.6667
Methylophaga	0	0	0	0.0667	0	0	0
Anaeromyxobacter	0	0	0	0.1333	0.1667	0	0.5
Inquilinus	0	0	0	0.0667	0	0	0
Ochrobactrum	0	0	0	0	0.6667	0.6667	1
Desulfovibrio	0	0	0	0	0.3333	0.3333	0.1667
Serratia	0	0	0	0	0.6667	0.1667	0.5
Phytophthora	0	0	0	0	1	1	1
Delftia	0	0	0	0	0.3333	0.3333	0.3333
Desulfobulbus	0	0	0	0	0.1667	0	0
Reclinomonas	0	0	0	0	0.6667	1	0.3333
Vermamoeba	0	0	0	0	0.3333	0.1667	0.1667
Wolbachia	0	0	0	0	0.1667	0	0
Tolumonas	0	0	0	0	0.3333	0	0.1667
Pelomonas	0	0	0	0	0.6667	0.3333	1
Tepidimonas	0	0	0	0	0.3333	0.1667	0.1667
Vibrio	0	0	0	0	0.3333	0.3333	0
Dickeya	0	0	0	0	0	0.1667	0.3333
Novispirillum	0	0	0	0	0	0.3333	0
Telmatospirillum	0	0	0	0	0	0.3333	0.3333
Lysobacter	0	0	0	0	0.1667	0.5	0.1667
Methylomonas	0	0	0	0	0.1667	0.1667	0
Nannocystis	0	0	0	0	0	0.1667	0
Labrys	0	0	0	0	0.1667	0.1667	0.3333
HTCC	0	0	0	0	0	0	0.1667
ZD0117	0	0	0	0	0	0	0.1667
Desulfobacca	0	0	0	0	0.1667	0	0.1667
Limnobacter	0	0	0	0	0.3333	0	0
Desulfococcus	0	0	0	0	0.1667	0	0
Providencia	0	0	0	0	0.1667	0	0
Gallionella	0	0	0	0	0.1667	0	0
Tatlockia	0	0	0	0	0.1667	0	0
Methylocaldum	0	0	0	0	0.1667	0	0
Myxococcus	0	0	0	0	0.1667	0	0
Rubellimicrobium	0	0	0	0	0.1667	0	0
Magnetospirillum	0	0	0	0	0.1667	0	0
Desulfomonile	0	0	0	0	0.1667	0	0
Syntrophus	0	0	0	0	0.1667	0	0
Syntrophobacter	0	0	0	0	0.1667	0	0
Thiomicrospira	0	0	0	0	0	0	0.1667
